Wall time,Step,Value
1570086606.8304732,42,0.002139588352292776
1570086642.1430042,94,0.0024359002709388733
1570086688.2316124,167,0.0029221768490970135
1570086717.5435433,229,0.003410432254895568
1570086719.8747766,234,0.0034531820565462112
1570086749.2997186,273,0.003805481595918536
1570086771.9959881,308,0.004152018576860428
1570086773.5791464,310,0.004172743763774633
1570086779.3417227,318,0.004256680142134428
1570086886.0823956,474,0.0062742955051362514
1570086925.5633433,536,0.007318532560020685
1570086950.5148382,579,0.00814235582947731
1570086955.325319,586,0.008284910582005978
1570086980.5828447,634,0.009331353940069675
1570086986.4884353,647,0.009636634029448032
1570087019.359722,714,0.011373843066394329
1570087022.9830842,722,0.011600944213569164
1570087074.234209,808,0.014343655668199062
1570087206.1093953,1014,0.023776357993483543
1570087240.5968435,1066,0.026988107711076736
1570087259.0476885,1104,0.02959810383617878
1570087387.016484,1316,0.04926600679755211
1570087388.8516674,1319,0.04961848631501198
1570087397.2435067,1333,0.05129522457718849
1570087399.888771,1337,0.051784053444862366
1570087435.5773396,1385,0.05800340324640274
1570087439.672749,1392,0.05896701291203499
1570087469.9307745,1436,0.06537533551454544
1570087630.0557854,1691,0.11686073243618011
1570087659.3657162,1734,0.1284201741218567
1570087661.2038999,1737,0.12926197052001953
1570087751.0888875,1877,0.1740056723356247
1570087785.2493033,1917,0.18884998559951782
1570087876.9794755,2036,0.23866727948188782
1570087921.4929261,2096,0.266979843378067
1570088006.2083972,2199,0.32027679681777954
1570088054.833259,2262,0.35548844933509827
1570088089.4087162,2307,0.38166195154190063
1570088151.321907,2389,0.4310667812824249
1570088179.1396885,2436,0.4600851237773895
1570088217.5245266,2485,0.49062609672546387
1570088218.2265966,2486,0.4912509024143219
1570088228.0245764,2498,0.4987500011920929
1570088251.5909328,2532,0.5199893116950989
1570088358.5656292,2685,0.6136070489883423
1570088400.2417963,2740,0.6456562876701355
1570088576.2783983,2967,0.7626928091049194
1570088628.7346435,3038,0.7933109998703003
1570088784.5202205,3230,0.8611649870872498
1570088798.9226606,3246,0.865878701210022
1570088841.8889568,3305,0.8821032643318176
1570089066.7714427,3618,0.9424050450325012
1570089067.8685524,3620,0.9426758289337158
1570089096.0743725,3670,0.949068546295166
1570089134.85225,3741,0.9569957256317139
1570089174.934258,3814,0.9639106392860413
1570089178.5756218,3821,0.9645144939422607
1570089237.0304668,3928,0.9726151823997498
1570089251.8419478,3956,0.9744192361831665
1570089296.087372,4036,0.9789586663246155
1570089378.835646,4196,0.9857970476150513
1570089441.6779294,4317,0.9894654154777527
1570089485.2822897,4400,0.9914225339889526
1570089539.0026612,4492,0.9931728839874268
1570089548.732634,4509,0.9934550523757935
1570089637.613521,4668,0.9955923557281494
1570089641.9889588,4676,0.9956792593002319
1570089704.4512043,4788,0.9967309832572937
1570089807.8275409,4971,0.9979286789894104
1570089885.3892963,5106,0.9985211491584778
1570089902.4910061,5134,0.9986209869384766
1570090021.2868845,5345,0.9991858005523682
1570090029.3986957,5359,0.9992138147354126
1570090134.6962245,5549,0.9995109438896179
1570090204.299184,5679,0.9996466040611267
1570090227.9935534,5723,0.9996833801269531
1570090272.7360272,5808,0.9997439980506897
1570090302.2139745,5864,0.9997774362564087
1570090306.1733706,5871,0.9997812509536743
1570090325.3852916,5907,0.9998000860214233
1570090369.7977324,5990,0.9998375773429871
1570090486.107362,6200,0.9999039173126221
1570090495.8613374,6219,0.9999083280563354
1570090533.9671476,6289,0.999923050403595
1570090686.0923586,6574,0.9999622702598572
1570090701.2948787,6603,0.9999648928642273
1570090752.4469934,6699,0.999972403049469
1570090759.3066792,6711,0.9999732375144958
1570090837.9455423,6854,0.9999812841415405
1570090891.3278801,6966,0.9999858140945435
1570090967.865533,7114,0.9999902248382568
1570090990.6288092,7155,0.9999911785125732
1570091115.558301,7382,0.9999949932098389
1570091157.3004746,7460,0.9999958872795105
1570091158.9226367,7463,0.9999958872795105
1570091167.015446,7478,0.9999960660934448
1570091185.3392782,7511,0.9999963641166687
1570091341.9549384,7788,0.9999982118606567
1570091347.230466,7798,0.9999982118606567
1570091366.5673995,7833,0.9999983906745911
1570091452.072949,7991,0.999998927116394
1570091493.8461258,8066,0.9999991059303284
1570091556.1773584,8180,0.9999993443489075
1570091580.6228027,8221,0.9999994039535522
1570091659.8827279,8363,0.9999995827674866
1570091668.266566,8377,0.9999995827674866
